fecha_jornada;jornada;partido;equipo_local;marcador_local;equipo_visitante;marcador_visitante;resultado
domingo 16 de septiembre de 2018;5;1;Real Sociedad;1;Barcelona;2;2
domingo 16 de septiembre de 2018;5;2;Valencia;0;Betis;0;X
domingo 16 de septiembre de 2018;5;4;Leganés;0;Villarreal;1;2
domingo 16 de septiembre de 2018;5;5;Espanyol;1;Levante;0;1
domingo 16 de septiembre de 2018;5;3;Athletic de Bilbao;1;Real Madrid;1;X
domingo 16 de septiembre de 2018;5;6;Valladolid;0;Alavés;2;2
domingo 16 de septiembre de 2018;5;8;Alcorcón;1;Deportivo;1;1
domingo 16 de septiembre de 2018;5;9;Elche;0;Mallorca;2;X
domingo 16 de septiembre de 2018;5;10;Lugo;2;R. Oviedo;1;2
domingo 16 de septiembre de 2018;5;7;Sevilla;1;Getafe;0;2
domingo 16 de septiembre de 2018;5;11;Almería;1;R. Zaragoza;2;1
domingo 16 de septiembre de 2018;5;14;Sporting de Gijón;1;Numancia;1;X
domingo 16 de septiembre de 2018;5;12;Extremadura;3;Las Palmas;0;2
domingo 16 de septiembre de 2018;5;15;Atlético de Madrid;NaN;Eibar;NaN;11
domingo 16 de septiembre de 2018;5;13;Granada;1;Rayo Majadahonda;1;1
domingo 19 de agosto de 2018;1;3;Barcelona;2;Alavés;0;1
domingo 19 de agosto de 2018;1;2;Villarreal;1;Real Sociedad;2;2
domingo 19 de agosto de 2018;1;5;Rayo Vallecano;1;Sevilla;4;2
domingo 19 de agosto de 2018;1;1;Celta;1;Espanyol;1;X
domingo 19 de agosto de 2018;1;6;Valencia;1;Atlético de Madrid;1;X
domingo 19 de agosto de 2018;1;7;Athletic de Bilbao;2;Leganés;1;1
domingo 19 de agosto de 2018;1;9;Elche;0;Granada;0;X
domingo 19 de agosto de 2018;1;8;Lugo;1;Málaga;2;2
domingo 19 de agosto de 2018;1;10;Alcorcón;1;Sporting de Gijón;1;X
domingo 19 de agosto de 2018;1;12;Mallorca;1;Osasuna;0;1
domingo 19 de agosto de 2018;1;11;R. Oviedo;1;Extremadura;1;X
domingo 19 de agosto de 2018;1;13;R. Zaragoza;2;Rayo Majadahonda;1;1
domingo 19 de agosto de 2018;1;14;Las Palmas;2;Reus Deport.;0;1
domingo 21 de octubre de 2018;14;1;Valencia;1;Leganés;1;X
domingo 19 de agosto de 2018;1;15;Real Madrid;2;Getafe;0;20
domingo 21 de octubre de 2018;14;2;Villarreal;1;Atlético de Madrid;1;X
domingo 21 de octubre de 2018;14;4;Rayo Vallecano;1;Getafe;2;2
domingo 21 de octubre de 2018;14;5;Eibar;1;Athletic de Bilbao;1;X
domingo 19 de agosto de 2018;1;4;Eibar;1;Huesca;2;2
domingo 21 de octubre de 2018;14;3;Barcelona;4;Sevilla;2;1
domingo 21 de octubre de 2018;14;7;Betis;0;Valladolid;1;2
domingo 21 de octubre de 2018;14;6;Huesca;0;Espanyol;2;2
domingo 21 de octubre de 2018;14;8;R. Oviedo;2;Osasuna;1;1
domingo 21 de octubre de 2018;14;9;Las Palmas;3;Numancia;0;1
domingo 21 de octubre de 2018;14;12;Lugo;1;C. Gimnastic;0;1
domingo 21 de octubre de 2018;14;10;Alcorcón;1;Granada;0;1
domingo 21 de octubre de 2018;14;13;R. Zaragoza;1;Tenerife;1;X
